Code,Label,Year,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - P80/P20 ratio,Total income (excl. Government pensions and allowances) - P80/P50 ratio,Total income (excl. Government pensions and allowances) - P20/P50 ratio,Total income (excl. Government pensions and allowances) - P10/P50 ratio,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile (%),Total income (excl. Government pensions and allowances) - Second Quartile (%),Total income (excl. Government pensions and allowances) - Third Quartile (%),Total income (excl. Government pensions and allowances) - Highest Quartile (%),Gross Capital Gains reported by taxpayers - Persons (no.),Gross Capital Gains reported by taxpayers - Amount ($m),Gross Capital Gains reported by taxpayers  - Median ($),Gross Capital Gains reported by taxpayers - Mean ($),Age Pension - Centrelink (no.),Age Pension - DVA (no.),Service Pension - DVA (no.),Income Support Supplement - DVA (no.),Carer Payment (no.),Carer Allowance (no.),Disability Support Pension (no.),Newstart Allowance (no.),Parenting Payment - Single (no.),Parenting Payment - Partnered (no.),Youth Allowance (Full time students/apprentices) (no.),Youth Allowance (Other) (no.),Family Tax Benefit A (no.),Family Tax Benefit B (no.),Commonwealth Rent Assistance (no.),Persons earning $1-$499 per week (%),Persons earning $500-$999 per week (%),Persons earning $1000-$1999 per week (%),Persons earning $2000-$2999 per week (%),Persons earning $3000 or more per week (%),Persons earning nil income (%),Persons with a negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($)
23430,Kingston (C) (Vic.),2015,"80,276",40,"4,632.4","49,561","57,706",76.7,"11,332",45,243.5,"12,829","21,485",7.0,"65,782",45,481.9,342,"7,326",14.2,"2,695",59,66.5,"15,911","24,690",1.5,"87,723",43,"5,131.9","48,063","58,501",4.61,1.82,0.39,0.18,0.446,6.7,19,30.1,24.1,24.7,26.3,25.0,"6,597",185.8,"2,941","28,162","17,964",28,737,461,"1,126",-,"4,324","3,324",840,-,"1,520",266,"7,927","6,862",-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2016,"80,938",40,"4,872.7","51,198","60,202",76.6,"11,569",45,257.1,"13,112","22,227",7.1,"67,501",45,483.7,298,"7,166",14.2,"2,614",59,66.0,"16,966","25,256",1.5,"89,217",43,"5,380.6","49,506","60,309",4.67,1.83,0.39,0.18,0.448,6.6,19,30.1,23.6,24.6,26.2,25.6,"6,408",193.5,"2,316","30,190","18,106",19,657,402,"1,122",-,"4,127","3,202",799,-,"1,466",234,"7,574","6,077",-,26.9,22.9,24.6,5.6,2.9,8.9,0.4,7.7,946
23430,Kingston (C) (Vic.),2017,"82,804",40,"5,126.6","52,539","61,913",77.2,"11,971",45,274.1,"13,000","22,895",6.9,"67,528",45,499.4,265,"7,395",13.7,"2,552",59,67.9,"17,799","26,594",1.4,"91,713",43,"5,692.0","50,583","62,063",4.75,1.84,0.39,0.17,0.451,6.9,19.3,30.4,23.5,24.4,25.9,26.2,"6,522",250.0,"3,067","38,339","17,457",20,554,349,"1,117","3,457","3,933","2,974",764,240,"1,273",270,"7,150","5,444",-,-,-,-,-,-,-,-,-,-
23430,Kingston (C) (Vic.),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,115",18,516,313,"1,148","3,527","3,887","2,856",705,210,"1,148",218,"6,586","5,036","5,908",-,-,-,-,-,-,-,-,-
23670,Knox (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,807
23670,Knox (C),2013,"81,036",40,"4,162.3","44,846","51,364",80.4,"10,220",46,201.8,"11,446","19,741",6.2,"63,369",45,318.3,313,"5,023",11.6,"2,541",59,50.1,"11,563","19,729",1.2,"88,694",43,"4,610.6","44,268","51,983",4.29,1.77,0.41,0.19,0.424,5.8,17.5,28.2,23.9,26.7,27.4,22.0,"4,708",85.3,"1,192","18,109","15,858",20,766,324,"1,001",-,"4,187","3,591","1,181",-,"1,817",511,"10,756","9,107",-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2014,"82,311",40,"4,307.1","45,874","52,327",80.2,"10,341",46,212.1,"12,475","20,513",6.3,"65,064",45,326.7,282,"5,022",11.7,"2,551",59,53.0,"12,600","20,795",1.2,"89,546",43,"4,745.7","45,213","52,997",4.27,1.76,0.41,0.19,0.423,5.7,17.5,28.2,24.0,26.7,27.6,21.7,"5,209",115.8,"2,016","22,230","16,268",15,715,313,"1,111",-,"4,287","3,781","1,183",-,"1,843",496,"10,526","8,955",-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2015,"84,966",40,"4,571.5","47,077","53,804",79.6,"10,643",45,220.9,"12,307","20,754",6.5,"67,280",45,340.9,252,"5,068",12.1,"2,597",59,57.2,"12,790","22,038",1.2,"91,153",43,"4,938.2","46,226","54,175",4.31,1.76,0.41,0.18,0.425,5.8,17.5,28.3,24.2,26.5,27.7,21.6,"5,644",144.3,"2,552","25,561","16,848",16,643,278,"1,165",-,"4,243","3,761","1,168",-,"1,815",457,"10,142","8,718",-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2016,"85,382",40,"4,760.0","48,692","55,750",79.5,"10,919",45,235.2,"12,374","21,541",6.5,"69,308",45,340.5,216,"4,912",12.3,"2,521",59,53.3,"12,602","21,135",1.2,"92,522",43,"5,134.5","47,258","55,495",4.43,1.77,0.40,0.17,0.429,5.8,17.6,28.4,24.1,26.4,27.4,22.1,"5,644",154.8,"2,104","27,425","17,211",15,595,243,"1,175",-,"4,121","3,549","1,138",-,"1,658",398,"9,668","7,636",-,28.0,24.7,24.2,4.4,1.8,10.1,0.4,6.3,905
23670,Knox (C),2017,"86,050",40,"4,910.3","49,902","57,063",79.5,"11,299",45,244.9,"12,201","21,674",6.3,"69,060",45,342.7,197,"4,963",12.3,"2,369",59,54.7,"13,875","23,098",1.1,"94,044",43,"5,312.0","47,962","56,484",4.56,1.79,0.39,0.17,0.432,5.8,17.5,28.4,24.4,26.0,27.0,22.6,"6,027",194.5,"2,860","32,276","16,602",18,520,220,"1,168","3,697","3,992","3,401","1,071",365,"1,491",358,"9,161","6,828",-,-,-,-,-,-,-,-,-,-
23670,Knox (C),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,348",13,481,201,"1,159","3,700","4,007","3,255","1,008",328,"1,327",318,"8,629","6,488","5,599",-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,628
23810,Latrobe (C) (Vic.),2013,"33,901",40,"1,817.8","42,896","53,621",81.3,"4,372",50,54.3,"5,024","12,418",5.4,"23,102",48,126.2,310,"5,463",11.7,"1,029",58,19.1,"9,706","18,564",1.1,"36,302",44,"1,974.6","42,920","54,392",5.30,1.96,0.37,0.15,0.464,5.9,18.9,30.7,26.4,25.6,23.3,24.7,"1,951",26.5,"1,214","13,603","9,572",21,480,248,"1,126",-,"4,710","3,332","1,411",-,678,769,"6,200","5,567",-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2014,"34,286",41,"1,886.4","43,883","55,019",81.4,"4,318",49,60.8,"6,139","14,076",5.5,"23,677",48,124.0,247,"5,236",11.5,"1,133",57,22.1,"10,000","19,500",1.3,"36,521",44,"2,038.4","43,967","55,813",5.20,1.99,0.38,0.16,0.459,5.5,18.3,30.2,25.9,26.2,23.1,24.8,"2,072",38.4,"2,000","18,525","9,694",19,437,226,"1,237",-,"4,730","3,514","1,421",-,636,690,"6,078","5,462",-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2015,"35,092",41,"1,999.4","45,359","56,975",81.1,"4,337",49,68.1,"7,284","15,701",5.7,"24,324",48,129.7,226,"5,332",11.5,"1,081",58,21.9,"10,217","20,250",1.3,"37,023",44,"2,137.7","45,400","57,741",5.10,1.97,0.39,0.17,0.457,5.5,18.3,30.3,25.3,26.2,23.6,24.9,"2,273",36.9,"1,839","16,247","9,934",13,388,212,"1,252",-,"4,682","3,877","1,457",-,632,708,"5,978","5,382",-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2016,"34,640",40,"2,027.4","47,051","58,528",80.8,"4,338",49,69.1,"7,826","15,934",5.9,"24,658",47,128.2,172,"5,198",11.6,"1,123",57,22.3,"10,000","19,867",1.5,"36,880",44,"2,162.9","46,527","58,647",5.19,1.96,0.38,0.16,0.460,5.5,18.4,30.4,25.2,26.0,24.0,24.8,"2,179",40.7,"1,723","18,690","10,097",10,364,194,"1,260",-,"4,502","4,019","1,487",-,628,691,"5,804","4,989",-,34.2,23.6,17.5,4.0,2.0,7.3,0.5,11.0,706
23810,Latrobe (C) (Vic.),2017,"34,823",40,"2,036.2","47,152","58,471",81.0,"4,441",49,67.3,"7,087","15,148",5.7,"24,324",48,123.2,165,"5,063",11.4,"1,166",57,28.7,"10,536","24,613",1.5,"37,493",44,"2,186.3","46,252","58,313",5.20,1.92,0.37,0.15,0.466,6.5,19.5,31.1,25.7,26.4,24.2,23.7,"2,246",56.5,"2,618","25,146","10,051",11,333,182,"1,300","2,820","4,454","4,004","1,467",346,546,622,"5,710","4,720",-,-,-,-,-,-,-,-,-,-
23810,Latrobe (C) (Vic.),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,093",10,312,169,"1,389","2,940","4,563","4,093","1,423",313,503,630,"5,626","4,663","6,043",-,-,-,-,-,-,-,-,-
23940,Loddon (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475
23940,Loddon (S),2013,"2,751",45,102.1,"33,336","37,124",60.2,"1,520",54,30.1,"8,865","19,812",20.3,"2,784",53,18.3,918,"6,591",17.2,113,57,1.9,"8,009","16,994",1.3,"3,786",50,149.3,"33,427","39,438",6.94,1.86,0.27,0.06,0.515,7,20.4,32.2,35.4,29.1,22.4,13.1,354,7.8,"2,708","21,973","1,317",-,68,53,163,-,585,293,65,-,25,43,613,449,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2014,"2,749",45,103.4,"33,598","37,623",59.7,"1,508",55,31.6,"10,430","20,941",20.9,"2,780",53,16.8,750,"6,049",17.2,133,57,2.1,"9,882","16,111",1.6,"3,762",50,149.6,"33,680","39,770",6.63,1.84,0.28,0.07,0.509,6.9,20.3,31.9,36.1,29.0,22.4,12.5,285,6.5,"2,983","22,978","1,343",5,65,48,173,-,583,322,65,-,33,33,583,443,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2015,"2,776",45,112.5,"35,161","40,526",58.4,"1,494",55,30.3,"11,705","20,300",22.0,"2,844",53,17.8,689,"6,276",17.0,127,58,2.6,"11,548","20,319",1.7,"3,799",51,157.8,"34,351","41,535",6.65,1.88,0.28,0.08,0.523,8.7,21.4,33,35.9,29.2,21.7,13.2,321,10.1,"3,142","31,582","1,392",5,62,40,183,-,553,330,60,-,33,33,563,443,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2016,"2,680",45,111.4,"36,936","41,564",60.7,"1,345",55,11.3,"4,357","8,371",17.5,"2,674",53,15.8,597,"5,920",19.8,117,58,2.0,"9,706","17,310",1.4,"3,612",51,134.6,"30,965","37,264",8.25,1.95,0.24,0.03,0.569,8.7,21.9,34,40.4,28.1,21.2,10.3,273,9.8,"1,422","35,920","1,409",-,56,37,187,-,519,319,65,-,35,30,520,395,-,40.2,24.1,12.7,1.1,0.8,6.1,1.1,14.0,552
23940,Loddon (S),2017,"2,792",45,115.7,"37,189","41,424",60.7,"1,401",56,34.2,"11,922","24,415",20.9,"2,714",54,15.9,481,"5,875",16.3,109,57,2.2,"10,000","20,314",1.6,"3,767",51,162.2,"36,279","43,059",6.76,1.87,0.28,0.07,0.532,8.1,21.6,33.2,34.7,29.6,22.5,13.2,315,21.4,"3,146","67,778","1,383",-,50,30,177,307,513,353,69,33,23,37,523,363,-,-,-,-,-,-,-,-,-,-
23940,Loddon (S),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,342",-,47,27,182,312,514,352,70,30,25,26,518,352,302,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,819
24130,Macedon Ranges (S),2013,"21,483",43,"1,192.0","44,956","55,488",73.8,"4,512",50,61.4,"5,922","13,618",8.2,"18,106",48,170.9,443,"9,438",15.3,964,59,24.8,"17,949","25,723",1.8,"25,009",46,"1,417.0","44,166","56,659",5.08,1.92,0.38,0.16,0.474,7.7,20.7,32,25.8,24.8,23.5,25.9,"1,721",67.1,"2,562","38,964","4,100",8,228,122,260,-,"1,093",832,330,-,272,127,"2,739","2,350",-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2014,"22,157",43,"1,269.6","46,367","57,301",73.6,"4,577",50,71.9,"6,913","15,706",8.2,"18,721",48,198.4,380,"10,599",15.6,962,59,25.1,"19,251","26,132",1.9,"25,695",46,"1,518.5","45,522","59,097",5.12,1.92,0.37,0.17,0.481,8.8,21.9,33.1,25.8,24.5,23.6,26.2,"1,887",65.2,"3,345","34,546","4,289",6,214,114,298,-,"1,123",870,335,-,299,130,"2,668","2,303",-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2015,"23,171",43,"1,375.4","48,335","59,361",73.1,"4,733",50,81.7,"7,451","17,257",8.5,"19,481",48,197.6,346,"10,143",15.9,980,59,26.8,"19,559","27,306",1.8,"26,346",46,"1,598.6","47,135","60,678",5.09,1.93,0.38,0.17,0.477,8.1,21.1,32.4,25.2,24.6,23.8,26.5,"2,079",66.4,"3,900","31,947","4,523",7,193,104,303,-,"1,100",862,319,-,263,132,"2,549","2,205",-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2016,"23,396",43,"1,454.6","50,597","62,173",73.0,"4,770",49,82.5,"8,119","17,290",8.6,"19,681",48,190.0,306,"9,653",16.0,975,59,26.8,"19,033","27,446",1.8,"26,711",46,"1,664.3","48,734","62,307",5.18,1.93,0.37,0.15,0.474,7.5,20.4,31.8,24.8,24.3,23.6,27.3,"2,018",103.6,"3,089","51,313","4,673",6,180,102,327,-,"1,059",809,283,-,249,83,"2,435","1,877",-,26.1,22.7,23.1,6.0,3.7,8.8,0.4,9.1,953
24130,Macedon Ranges (S),2017,"24,079",43,"1,556.5","52,166","64,643",73.3,"4,985",49,84.4,"8,257","16,936",8.5,"20,261",48,223.5,293,"11,029",15.9,951,59,26.3,"18,779","27,663",1.7,"27,783",46,"1,812.8","50,553","65,247",5.17,1.93,0.37,0.16,0.479,8.2,21.1,32.5,24.1,24.0,23.5,28.4,"2,173",97.4,"4,826","44,828","4,543",6,172,87,320,"1,033","1,010",825,282,75,220,97,"2,300","1,718",-,-,-,-,-,-,-,-,-,-
24130,Macedon Ranges (S),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,573",6,157,69,327,"1,089","1,025",755,280,42,205,79,"2,170","1,610","1,329",-,-,-,-,-,-,-,-,-
24210,Manningham (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,852
24210,Manningham (C),2013,"54,771",42,"3,155.0","43,958","57,603",66.5,"9,142",49,227.4,"11,726","24,871",6.6,"56,803",48,842.1,"1,425","14,825",24.5,"2,111",60,49.0,"15,120","23,204",1.3,"68,639",47,"4,191.7","42,971","61,069",5.95,2.06,0.35,0.14,0.520,10,24.6,36.6,28.2,23.4,21.4,27.0,"6,564",164.9,"1,840","25,123","13,870",14,441,241,689,-,"1,998","1,885",358,-,"1,469",166,"5,353","4,563",-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2014,"55,470",42,"3,272.4","44,916","58,995",66.5,"9,137",49,240.3,"12,475","26,302",6.7,"57,485",48,881.6,"1,338","15,336",24.7,"2,029",60,48.3,"16,434","23,827",1.3,"69,166",47,"4,324.4","43,403","62,522",5.94,2.07,0.35,0.14,0.523,10.7,25.2,37.1,28.4,23.7,21.3,26.6,"7,220",285.6,"2,965","39,562","14,003",13,409,223,726,-,"2,011","1,979",373,-,"1,461",139,"5,206","4,411",-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2015,"57,822",42,"3,499.2","45,850","60,517",65.8,"9,224",49,256.6,"12,856","27,824",6.8,"59,200",48,892.8,"1,247","15,081",25.2,"2,016",60,52.3,"17,349","25,932",1.3,"70,589",47,"4,496.7","44,288","63,703",5.98,2.09,0.35,0.14,0.523,10.2,24.8,36.9,28.4,23.7,21.1,26.8,"7,752",388.6,"3,576","50,123","14,228",14,388,216,741,-,"1,929","1,941",339,-,"1,316",165,"4,919","4,258",-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2016,"57,970",42,"3,614.7","47,275","62,355",65.6,"9,438",48,264.0,"13,630","27,972",7.0,"59,837",48,936.5,"1,102","15,651",25.4,"1,951",60,51.6,"18,406","26,434",1.3,"71,403",47,"4,648.3","45,208","65,099",6.15,2.11,0.34,0.13,0.526,10.5,25,37.1,28.4,23.7,21.0,26.9,"7,669",435.5,"2,690","56,793","14,051",13,357,200,736,-,"1,828","1,681",310,-,"1,278",106,"4,819","3,701",-,27.6,21.2,21.6,5.7,4.5,12.3,0.5,6.5,944
24210,Manningham (C),2017,"58,287",41,"3,711.3","48,170","63,673",65.6,"9,691",48,270.4,"13,112","27,903",6.9,"60,055",48,918.1,"1,009","15,287",25.3,"1,880",60,55.0,"19,550","29,234",1.2,"72,673",47,"4,761.1","45,293","65,515",6.38,2.14,0.33,0.13,0.529,10.2,24.7,36.9,28.9,23.4,20.7,26.9,"7,750",609.5,"3,770","78,644","13,018",8,293,186,698,"2,685","1,718","1,611",325,171,"1,191",96,"4,651","3,308",-,-,-,-,-,-,-,-,-,-
24210,Manningham (C),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,665",8,265,155,721,"2,711","1,701","1,588",305,156,"1,006",94,"4,488","3,188","3,011",-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626
24250,Mansfield (S),2013,"3,486",44,140.7,"33,477","40,356",63.5,"1,389",53,10.2,"5,157","7,347",13.3,"3,362",52,32.1,656,"9,560",20.2,188,58,5.1,"15,448","27,017",1.9,"4,632",49,184.9,"31,787","39,911",6.52,2.00,0.31,0.10,0.522,7.1,21,32.9,35.8,29.4,20.6,14.2,371,11.6,"2,236","31,353","1,187",4,49,24,61,-,272,214,67,-,24,-,554,420,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2014,"3,597",44,144.9,"32,952","40,291",64.2,"1,410",54,14.6,"5,782","10,364",13.2,"3,467",52,33.5,618,"9,676",19.5,207,59,4.3,"15,033","20,757",2.2,"4,724",50,193.8,"32,333","41,031",6.09,1.97,0.32,0.12,0.492,7,20.5,32.1,35.8,30.2,20.5,13.5,443,10.0,"3,768","22,526","1,232",-,52,22,64,-,269,224,67,-,-,20,538,421,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2015,"3,725",44,157.1,"34,273","42,170",62.8,"1,455",53,18.2,"7,423","12,540",14.8,"3,632",52,33.9,545,"9,324",19.5,201,59,5.6,"15,517","28,015",2.3,"4,827",50,208.2,"33,443","43,138",5.57,1.99,0.36,0.14,0.498,7.3,20.7,32.4,34.5,30.2,20.8,14.5,475,12.8,"3,868","26,932","1,301",-,45,23,67,-,260,238,68,-,-,-,549,427,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2016,"3,844",44,164.8,"35,491","42,880",63.1,"1,447",53,18.6,"7,346","12,845",15.0,"3,675",52,36.6,459,"9,965",19.1,189,59,5.5,"20,340","29,014",2.1,"4,907",50,219.2,"34,811","44,666",6.05,1.97,0.33,0.11,0.502,7.9,21.6,33.2,34.5,30.1,21.1,14.3,488,20.4,"3,166","41,783","1,332",-,39,19,69,-,249,207,60,-,21,16,557,407,-,32.2,27.0,18.9,2.7,1.3,6.7,0.6,10.5,709
24250,Mansfield (S),2017,"3,981",44,177.9,"36,643","44,681",63.7,"1,461",53,21.8,"7,479","14,903",14.3,"3,733",53,48.6,498,"13,012",18.9,203,59,5.8,"18,964","28,744",2.2,"5,086",50,246.1,"36,559","48,389",5.94,1.95,0.33,0.13,0.514,10.9,23.7,34.9,33.0,29.4,22.2,15.4,496,28.9,"5,000","58,198","1,309",-,36,14,74,177,252,207,57,14,16,8,540,384,-,-,-,-,-,-,-,-,-,-
24250,Mansfield (S),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,321",-,29,11,71,177,243,212,45,9,9,9,529,375,306,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,794
24330,Maribyrnong (C),2013,"40,675",35,"2,139.5","45,624","52,600",84.9,"5,400",39,102.4,"9,527","18,971",6.7,"26,969",38,108.1,224,"4,008",7.2,653,57,14.4,"11,410","21,977",0.7,"41,264",36,"2,272.3","46,544","55,066",4.29,1.77,0.41,0.21,0.423,5.7,17.5,28.3,23.0,25.0,27.3,24.6,"1,574",44.1,"2,030","28,001","6,125",5,526,131,757,-,"2,767","3,481",609,-,"1,871",339,"4,481","4,065",-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2014,"42,536",35,"2,282.2","46,407","53,652",84.9,"5,794",39,112.1,"9,420","19,343",6.8,"28,175",38,116.5,200,"4,136",7.2,717,57,14.2,"11,285","19,744",0.7,"42,855",36,"2,404.0","47,362","56,097",4.38,1.78,0.41,0.20,0.425,5.6,17.4,28.3,23.5,24.7,27.3,24.5,"1,912",55.3,"2,671","28,909","6,021",4,545,115,791,-,"2,777","3,618",615,-,"1,755",361,"4,421","4,008",-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2015,"45,608",35,"2,536.4","48,016","55,614",84.5,"6,184",39,122.4,"9,574","19,792",6.9,"30,759",37,127.5,167,"4,145",7.6,768,57,17.3,"12,382","22,468",0.8,"45,175",36,"2,606.5","48,594","57,698",4.42,1.78,0.40,0.20,0.429,5.8,17.7,28.7,23.4,24.8,27.1,24.6,"2,166",56.2,"3,059","25,925","6,038",-,538,96,848,-,"2,661","3,778",588,-,"1,668",331,"4,291","3,957",-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2016,"47,644",35,"2,740.0","49,170","57,510",84.2,"6,803",38,131.8,"9,094","19,368",7.1,"32,609",37,137.4,147,"4,214",7.7,778,57,16.6,"12,881","21,302",0.7,"47,414",36,"2,809.2","49,523","59,248",4.55,1.81,0.40,0.20,0.433,5.8,17.8,28.8,23.3,25.0,26.2,25.5,"2,176",70.4,"2,408","32,365","6,019",-,534,79,838,-,"2,508","3,518",569,-,"1,691",268,"4,089","3,538",-,26.4,21.4,24.0,5.9,2.9,9.7,0.6,9.1,975
24330,Maribyrnong (C),2017,"49,705",34,"2,953.3","50,714","59,417",84.3,"7,158",38,143.8,"9,191","20,085",6.8,"33,828",37,138.3,124,"4,089",7.7,759,57,20.2,"14,589","26,636",0.7,"50,028",36,"3,049.2","50,819","60,950",4.64,1.82,0.39,0.19,0.435,5.6,17.8,28.8,23.2,24.3,26.3,26.2,"2,489",91.2,"2,848","36,628","5,928",-,523,62,818,"1,888","2,435","3,238",518,307,"1,428",258,"3,951","3,201",-,-,-,-,-,-,-,-,-,-
24330,Maribyrnong (C),2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,746",-,511,47,807,"1,915","2,421","3,148",485,238,"1,301",219,"3,661","2,968","4,378",-,-,-,-,-,-,-,-,-
24410,Maroondah (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,805
24410,Maroondah (C),2013,"54,763",40,"2,866.3","45,558","52,339",78.6,"7,246",45,134.9,"10,561","18,616",6.2,"44,193",45,262.6,361,"5,942",13.1,"2,028",59,44.9,"14,198","22,139",1.5,"60,784",43,"3,224.3","44,991","53,045",4.45,1.78,0.40,0.18,0.428,5.8,17.6,28.4,24.2,25.6,27.0,23.3,"3,643",66.8,"1,224","18,344","11,677",24,569,367,593,-,"3,370","2,710",789,-,"1,193",357,"7,253","6,343",-,-,-,-,-,-,-,-,-,-
