POSTCODE_2018	POSTCODE_2018	LGA_CODE_2018	LGA_NAME_2018	RATIO	PERCENTAGE

0800	0800	71000	Darwin (C)	0.9585573	95.8557297
0800	0800	79399	Unincorporated NT	0.0414427	4.1442703
0810	0810	71000	Darwin (C)	1	100
0812	0812	71000	Darwin (C)	1	100
0815	0815	71000	Darwin (C)	1	100
0820	0820	71000	Darwin (C)	1	100
0822	0822	70540	Belyuen (S)	0.0064202	0.6420153
0822	0822	70700	Coomalie (S)	0.0175771	1.7577123
0822	0822	71300	East Arnhem (R)	0.2701945	27.019447
0822	0822	72200	Katherine (T)	0.0001174	0.0117442
0822	0822	72300	Litchfield (M)	0.1729135	17.2913477
0822	0822	73600	Roper Gulf (R)	0.0287733	2.877327
0822	0822	74050	Tiwi Islands (R)	0.0960283	9.6028262
0822	0822	74550	Victoria Daly (R)	0.0229403	2.29403
0822	0822	74560	Wagait (S)	0.0179686	1.7968594
0822	0822	74660	West Arnhem (R)	0.1999864	19.9986404
0822	0822	74680	West Daly (R)	0.1243317	12.4331675
0822	0822	79399	Unincorporated NT	0.0427488	4.2748827
0828	0828	71000	Darwin (C)	0.6331951	63.3195136
0828	0828	72300	Litchfield (M)	0.3410787	34.1078724
0828	0828	79399	Unincorporated NT	0.0257261	2.572614
0829	0829	72300	Litchfield (M)	0.9890591	98.905907
0829	0829	72800	Palmerston (C)	0.0109409	1.094093
0830	0830	72300	Litchfield (M)	0.001153	0.1153025
0830	0830	72800	Palmerston (C)	0.998847	99.8846975
0832	0832	72800	Palmerston (C)	1	100
0834	0834	72300	Litchfield (M)	1	100
0835	0835	72300	Litchfield (M)	1	100
0836	0836	72300	Litchfield (M)	1	100
0837	0837	72300	Litchfield (M)	1	100
0838	0838	72300	Litchfield (M)	1	100
0839	0839	72300	Litchfield (M)	1	100
0840	0840	79399	Unincorporated NT	1	100
0841	0841	72300	Litchfield (M)	1	100
0845	0845	70700	Coomalie (S)	1	100
0846	0846	70700	Coomalie (S)	1	100
0847	0847	74550	Victoria Daly (R)	1	100
0850	0850	72200	Katherine (T)	0.9929664	99.2966434
0850	0850	73600	Roper Gulf (R)	0.0070336	0.7033566
0852	0852	70420	Barkly (R)	0.0288694	2.8869446
0852	0852	70620	Central Desert (R)	0.0743572	7.4357159
0852	0852	72200	Katherine (T)	0.0954634	9.5463364
0852	0852	73600	Roper Gulf (R)	0.5792092	57.9209176
0852	0852	74550	Victoria Daly (R)	0.2221009	22.2100854
0853	0853	72200	Katherine (T)	1	100
0854	0854	73600	Roper Gulf (R)	1	100
0860	0860	70420	Barkly (R)	1	100
0862	0862	70420	Barkly (R)	0.9295038	92.9503796
0862	0862	73600	Roper Gulf (R)	0.0704962	7.0496204
0870	0870	70200	Alice Springs (T)	1	100
0872	0872	40250	Anangu Pitjantjatjara (AC)	0.1438708	14.3870765
0872	0872	49399	Unincorporated SA	0.0007602	0.0760206
0872	0872	53220	East Pilbara (S)	0.0157111	1.5711124
0872	0872	56620	Ngaanyatjarraku (S)	0.0651884	6.5188446
0872	0872	70420	Barkly (R)	0.1424137	14.241368
0872	0872	70620	Central Desert (R)	0.1949319	19.493186
0872	0872	72330	MacDonnell (R)	0.3672475	36.7247454
0872	0872	79399	Unincorporated NT	0.0698765	6.9876464
0873	0873	70200	Alice Springs (T)	0.9006185	90.0618531
0873	0873	72330	MacDonnell (R)	0.0993815	9.9381469
0874	0874	70200	Alice Springs (T)	1	100
0875	0875	70200	Alice Springs (T)	1	100
0880	0880	71300	East Arnhem (R)	0.4076066	40.7606589
0880	0880	79399	Unincorporated NT	0.5923934	59.2393411
0885	0885	79399	Unincorporated NT	1	99.9999989
0886	0886	74660	West Arnhem (R)	1	100
2000	2000	17200	Sydney (C)	1	100
2006	2006	17200	Sydney (C)	1	100
2007	2007	17200	Sydney (C)	1	100
2008	2008	17200	Sydney (C)	1	100
2009	2009	17200	Sydney (C)	1	100
2010	2010	17200	Sydney (C)	1	100
2011	2011	17200	Sydney (C)	1	100
2015	2015	17200	Sydney (C)	1	100
2016	2016	17200	Sydney (C)	1	100
