ISO,NODEJ,NODEI,LONFR,LATFR,LONTO,LATTO,PrdMIG
VNM,110,120,106.6807308,20.79708136,105.7035363,20.99158234,14805.0916
VNM,110,131,106.3605448,20.93043731,105.7035363,20.99158234,17786.68647
VNM,110,132,106.0596675,20.81465527,105.7035363,20.99158234,17783.27035
VNM,110,140,106.3919667,20.50532856,105.7035363,20.99158234,15318.90216
VNM,110,151,105.9661709,20.5404652,105.7035363,20.99158234,13628.01928
VNM,110,152,106.2125184,20.26188928,105.7035363,20.99158234,14679.24194
VNM,110,153,105.9030421,20.22004323,105.7035363,20.99158234,11167.13001
VNM,110,211,104.9786483,22.76813072,105.7035363,20.99158234,4212.163265
VNM,110,212,105.2672697,22.11301736,105.7035363,20.99158234,7080.941508
VNM,110,220,106.0860977,22.74481386,105.7035363,20.99158234,4168.449965
VNM,110,230,106.6207672,21.83917203,105.7035363,20.99158234,7050.515491
VNM,110,241,104.1130509,22.36479505,105.7035363,20.99158234,3790.905494
VNM,110,242,104.567928,21.77677888,105.7035363,20.99158234,6388.675854
VNM,110,251,105.8259616,22.26140195,105.7035363,20.99158234,5663.903407
VNM,110,252,105.8231006,21.69279262,105.7035363,20.99158234,12716.87961
VNM,110,261,105.1153656,21.31906486,105.7035363,20.99158234,14366.31253
VNM,110,262,105.5736524,21.3434323,105.7035363,20.99158234,16602.01152
VNM,110,271,106.4800769,21.35759242,105.7035363,20.99158234,13414.44497
VNM,110,272,106.1055516,21.10924412,105.7035363,20.99158234,16948.83341
VNM,110,280,107.2775168,21.24182744,105.7035363,20.99158234,6659.951047
VNM,110,311,103.1888262,22.31712494,105.7035363,20.99158234,2718.668187
VNM,110,312,103.0241266,21.7118648,105.7035363,20.99158234,2916.787106
VNM,110,321,104.0709586,21.19257235,105.7035363,20.99158234,6048.179632
VNM,110,322,105.3446298,20.68838595,105.7035363,20.99158234,14201.11465
VNM,110,410,105.3191128,20.04564036,105.7035363,20.99158234,20709.07548
VNM,110,421,104.9442524,19.23700989,105.7035363,20.99158234,9445.080542
VNM,110,422,105.7357907,18.28982904,105.7035363,20.99158234,3754.695945
VNM,110,430,106.2937094,17.53149482,105.7035363,20.99158234,2982.167587
VNM,110,440,106.9293121,16.74562058,105.7035363,20.99158234,2434.392999
VNM,110,450,107.4998657,16.32711372,105.7035363,20.99158234,2639.406894
VNM,110,511,108.0607902,16.0686802,105.7035363,20.99158234,2229.993093
VNM,110,512,107.9553313,15.59024879,105.7035363,20.99158234,1930.136445
VNM,110,520,108.9483528,14.1234706,105.7035363,20.99158234,1362.676205
VNM,110,530,108.6494286,14.9919528,105.7035363,20.99158234,1354.014731
VNM,110,540,109.0579569,13.16924775,105.7035363,20.99158234,1179.661696
VNM,110,550,109.0374938,12.33074104,105.7035363,20.99158234,1390.822917
VNM,110,611,107.9418582,14.72982909,105.7035363,20.99158234,1033.107663
VNM,110,612,108.1766931,13.83616849,105.7035363,20.99158234,1253.913693
VNM,110,621,108.2121954,12.82286441,105.7035363,20.99158234,1611.848762
VNM,110,622,107.6881139,12.22816935,105.7035363,20.99158234,1068.650168
VNM,110,711,108.8693992,11.70585654,105.7035363,20.99158234,1120.435288
VNM,110,712,108.0484808,11.11798481,105.7035363,20.99158234,1317.540825
VNM,110,720,108.0955588,11.75098146,105.7035363,20.99158234,1427.976735
VNM,110,730,106.6880823,10.75724783,105.7035363,20.99158234,8961.265373
VNM,110,741,106.65744,11.21634292,105.7035363,20.99158234,1537.433882
VNM,110,742,106.9084884,11.75399094,105.7035363,20.99158234,1244.903162
VNM,110,750,106.1613121,11.40380838,105.7035363,20.99158234,1351.028903
VNM,110,760,107.1855513,11.05912008,105.7035363,20.99158234,2165.573828
VNM,110,770,107.2575452,10.50561435,105.7035363,20.99158234,1127.355349
VNM,110,810,106.1707485,10.72986531,105.7035363,20.99158234,1385.793682
VNM,110,820,105.6078488,10.56417757,105.7035363,20.99158234,1441.64028
VNM,110,830,105.1824557,10.51190211,105.7035363,20.99158234,1673.017551
VNM,110,840,106.3047718,10.39727947,105.7035363,20.99158234,1393.626958
VNM,110,850,106.4635371,10.12336168,105.7035363,20.99158234,1072.672454
VNM,110,861,105.9907238,10.10161712,105.7035363,20.99158234,1010.315175
VNM,110,862,106.30693,9.796109685,105.7035363,20.99158234,872.8274192
VNM,110,870,105.6241564,9.784219508,105.7035363,20.99158234,809.0160558
VNM,110,871,105.5303144,10.1144588,105.7035363,20.99158234,1117.094097
