"LGA_2011","Local Government Areas - 2011","INDEX_TYPE","Index Type","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",967,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",290,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",6,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",52,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",87,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",6,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",57,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",628,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1169,,
"10050","Albury (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",47851,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",985,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",365,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",7,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",65,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",103,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",7,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",67,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",727,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1120,,
"10110","Armidale Dumaresq (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",24122,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",1031,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",472,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",9,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",84,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",122,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",8,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",80,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",926,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1124,,
"10150","Ashfield (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",41216,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",944,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",209,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",4,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",37,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",62,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",5,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",41,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MINS","Minimum score for SA1s in area","2011","2011",759,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","MAXS","Maximum score for SA1s in area","2011","2011",1183,,
"10200","Auburn (C)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","URP","Usual resident population","2011","2011",73744,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","SCORE","Score","2011","2011",980,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAR","Rank within Australia","2011","2011",343,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAD","Rank within Australia - Decile","2011","2011",7,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWAP","Rank within Australia - Percentile","2011","2011",61,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSR","Rank within State or Territory","2011","2011",99,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSD","Rank within State or Territory - Decile","2011","2011",7,,
"10250","Ballina (A)","IRSAD","Index of Relative Socio-economic Advantage and Disadvantage","RWSP","Rank within State or Territory - Percentile","2011","2011",65,,
