,,,Gifts/donations reported by taxpayers - Year ended 30 June,,Method of Travel to Work - Employed Persons - Census,,,,,,,,,,,,,,,,,,,,Households by Type - Census,,,,,Families by Type - Census,,,,,,,,Social Marital Status & Registered Marital Status - Persons aged 15 years and over - Census,,,,,,,,Access to Internet at Home - Occupied Private Dwellings - Census,,,Rent and Mortgage Payments - Census,,Unpaid Child Care - Proportion of persons aged 15 years and over - Census,,,,,Unpaid Work - Persons aged 15 years and over - Census,,Count of All Children in Family - Census,Housing Suitability - Occupied private dwellings - Census,,,Dwelling Structure - Private dwellings - Census,,,,,,Tenure Type - Occupied private dwellings - Census,,,,,Household Stress - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - Australia Deciles - Census,,,,Socio-Economic Indexes for Areas (SEIFA) - State Deciles - Census,,,,Homelessness - Census,Commuting to Work - Census,,,
10130,Armidale Regional (A),2015,"4,402",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2016,"4,229",150,8,3,49,-,"7,906",796,37,151,102,117,91,663,"9,928",124,88,"8,822",887,"1,254",129,"12,327","2,983",482,"6,803","10,276",2,"2,256",416,"2,867",853,389,126,"6,912",2.9,"8,637","2,143","8,355",42.9,40.3,6.0,7.8,3.2,78.8,18.5,2.6,"1,103","1,564",66.5,16.9,6.3,0.6,9.7,11.3,27.0,1.9,239,"7,795","1,607","8,689",915,532,50,84,"10,270",34.4,26.0,36.1,0.8,2.7,95.9,4.1,86.0,14.0,6,7,9,3,6,7,8,3,87.3,10.7,3.5,12.4,3.9
10130,Armidale Regional (A),2017,"4,130",156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2011,-,-,3,-,96,3,"10,807",851,19,265,104,251,111,677,"13,178",128,147,"11,769","1,130","1,895",257,"16,590","4,260",557,"10,777","15,597",2,"3,307",671,"4,915","1,313",619,125,"10,954",2.8,"14,575","2,787","11,716",49.8,27.9,8.1,10.9,3.2,-,-,-,"1,225","1,845",66.5,18.4,7.5,1.0,6.6,13.2,22.6,1.8,-,-,-,"11,095","1,996","1,994",500,4,"15,589",40.2,26.7,29.2,1.3,2.6,91.5,8.5,86.8,13.2,-,-,-,-,-,-,-,-,36.0,-,-,-,-
10250,Ballina (A),2013,"7,762",104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2014,"7,865",104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2015,"7,836",110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2016,"7,768",120,13,3,97,5,"11,946",788,6,202,108,213,117,548,"14,043",175,175,"12,899","1,302","1,737",210,"17,463","4,594",555,"11,067","16,220",2,"3,321",764,"5,187","1,225",662,138,"11,297",2.8,"14,835","3,289","12,367",48.9,28.8,7.9,11.0,3.4,80.3,16.7,3.1,"1,476","1,809",64.8,17.6,7.3,0.7,9.5,12.8,22.9,1.8,303,"12,692","2,245","11,223","3,615",799,480,105,"16,222",41.0,26.5,28.0,1.4,3.1,93.8,6.2,87.1,12.9,8,8,8,7,8,8,8,7,18.4,16.1,11.3,14.9,8.5
10250,Ballina (A),2017,"7,788",120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2011,-,-,-,-,8,-,556,68,-,13,5,13,11,96,770,12,12,634,117,98,29,"1,028",223,13,592,828,2,192,57,249,56,24,8,591,3.0,826,172,552,51.8,30.5,6.9,7.3,3.9,-,-,-,518,"1,061",62.8,19.0,6.4,0.9,11.5,11.8,28.4,2.0,-,-,-,766,22,25,14,-,827,39.9,26.4,29.2,1.2,3.9,94.9,5.1,92.7,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2014,176,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2015,205,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10300,Balranald (A),2016,210,100,-,-,3,-,601,48,-,12,5,6,15,104,795,8,6,656,97,69,16,982,224,16,563,807,3,190,42,248,54,32,13,570,3.1,752,191,588,49.8,33.8,6.3,7.3,2.8,67.2,28.1,4.0,586,"1,019",58.7,18.0,7.6,0.6,14.9,11.1,30.8,2.1,29,579,131,734,18,34,21,3,810,41.4,24.6,29.7,1.0,3.5,97.7,2.3,93.4,6.6,3,3,2,4,3,3,1,4,12.0,35.6,3.4,31.7,1.4
10300,Balranald (A),2017,211,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2011,-,-,12,-,75,9,"11,806","1,120",55,247,91,98,80,829,"14,417",131,116,"13,047",769,"1,952",264,"17,531","3,546",553,"9,549","13,657",3,"3,477",645,"3,794","1,193",433,148,"9,693",3.0,"12,599","2,821","10,619",46.1,36.7,5.5,8.3,3.3,-,-,-,960,"1,731",61.5,20.0,8.3,1.2,9.2,11.3,20.3,1.9,-,-,-,"11,662","1,000",901,57,31,"13,651",32.7,34.4,29.7,0.5,2.6,92.2,7.8,90.5,9.5,-,-,-,-,-,-,-,-,33.4,-,-,-,-
10470,Bathurst Regional (A),2013,"8,378",75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2014,"8,382",90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2015,"8,359",96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2016,"8,267",95,21,-,51,8,"12,835",962,39,209,61,85,83,685,"15,035",146,129,"13,915",838,"1,945",208,"18,165","3,884",592,"9,934","14,411",3,"3,583",727,"3,885","1,276",531,131,"10,136",3.0,"12,853","3,130","11,584",45.0,37.3,5.6,8.7,3.5,79.2,18.0,2.7,"1,177","1,752",59.4,19.7,8.4,0.9,11.6,11.8,20.7,1.9,303,"11,262","1,994","12,166","1,464",595,49,155,"14,429",32.5,33.7,30.7,0.6,2.5,94.3,5.7,88.5,11.5,6,7,7,6,7,7,7,7,38.3,15.4,5.0,14.1,5.0
10470,Bathurst Regional (A),2017,"7,940",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2011,-,-,"8,889",15,"3,475",10,"32,253","3,040",184,584,375,397,324,"2,308","51,848","4,083","16,252","36,899","1,482","4,881","1,050","63,353","11,660","2,183","34,685","48,531",3,"13,357","3,691","12,375","3,282","2,573",939,"36,221",3.0,"51,130","6,570","45,366",49.9,33.1,6.0,7.9,3.1,-,-,-,"1,552","2,436",66.4,18.6,5.9,0.5,8.6,10.7,10.4,1.8,-,-,-,"22,583","6,445","19,062",347,93,"48,530",32.7,30.6,33.2,0.6,2.9,87.9,12.1,85.7,14.3,-,-,-,-,-,-,-,-,54.2,-,-,-,-
10500,Bayside (A),2013,"27,980",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2014,"28,833",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2015,"30,344",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2016,"30,187",150,"14,136",14,"3,675",5,"35,825","3,115",187,523,535,464,426,"2,620","61,538","5,848","23,359","41,171","2,137","5,490",779,"75,788","12,500","3,388","38,487","54,375",3,"14,926","3,670","14,437","3,299","2,856","1,061","40,266",3.0,"54,574","10,015","53,869",48.1,36.3,5.1,7.7,2.9,82.2,14.6,3.2,"2,037","2,394",67.6,18.5,5.2,0.4,8.2,10.7,11.9,1.7,"5,671","28,833","16,423","21,538","7,629","24,528",453,226,"54,374",28.7,28.8,38.8,0.6,3.1,91.5,8.5,82.8,17.2,7,9,9,4,8,8,8,4,59.1,-,-,-,-
10500,Bayside (A),2017,"30,777",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2011,-,-,3,-,84,3,"8,050",722,17,248,82,58,112,737,"10,117",114,111,"8,882","1,029","1,582",203,"13,041","3,465",337,"8,876","12,675",2,"2,525",526,"4,520","1,002",336,71,"8,981",2.8,"11,955","2,752","8,501",51.3,27.3,7.4,10.5,3.4,-,-,-,881,"1,496",67.6,16.9,6.8,1.0,7.7,12.9,26.3,1.9,-,-,-,"10,504",868,"1,043",242,15,"12,672",44.3,28.3,23.8,0.9,2.7,92.1,7.9,90.8,9.2,-,-,-,-,-,-,-,-,32.5,-,-,-,-
10550,Bega Valley (A),2013,"4,335",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2014,"4,405",104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2015,"4,308",110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10550,Bega Valley (A),2016,"4,073",120,12,-,54,-,"8,566",530,6,177,65,56,110,644,"10,219",104,87,"9,195",973,"1,681",177,"13,153","4,018",323,"8,873","13,222",2,"2,328",559,"4,733",858,423,81,"8,991",2.7,"11,604","3,189","8,942",49.3,27.9,7.2,11.8,3.8,78.2,18.5,3.2,"1,081","1,472",66.8,15.4,7.1,0.7,10.0,12.6,25.9,1.8,281,"10,320","1,813","10,934","1,333",547,270,131,"13,215",45.5,27.5,22.7,1.1,3.2,94.2,5.8,90.8,9.2,6,5,6,5,6,5,6,5,34.5,17.9,7.9,15.2,7.6
10550,Bega Valley (A),2017,"4,057",121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2011,-,-,3,-,18,-,"2,795",253,-,99,42,39,32,302,"3,589",40,31,"3,084",541,542,62,"4,778","1,381",166,"3,462","5,009",2,"1,037",188,"1,584",526,177,26,"3,527",2.8,"4,243","1,170","3,707",46.1,30.0,6.9,13.2,3.8,-,-,-,972,"1,505",65.5,19.3,7.8,1.6,5.8,13.7,28.6,1.8,-,-,-,"4,492",100,215,194,4,"5,005",44.6,26.2,25.7,1.1,2.4,92.0,8.0,88.1,11.9,-,-,-,-,-,-,-,-,35.4,-,-,-,-
10600,Bellingen (A),2013,"1,786",110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2014,"1,820",120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2015,"1,845",125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10600,Bellingen (A),2016,"1,826",140,3,-,10,-,"3,025",207,3,65,30,26,34,252,"3,658",40,30,"3,269",516,593,80,"4,890","1,440",163,"3,370","4,970",2,956,217,"1,592",451,209,28,"3,446",2.8,"4,053","1,313","3,808",44.9,30.8,7.0,13.4,3.8,78.9,18.3,2.8,"1,185","1,510",64.1,17.8,7.7,1.1,9.2,13.6,27.3,1.8,144,"3,682",833,"4,466",237,136,85,47,"4,971",45.5,26.4,24.6,0.8,2.7,94.1,5.9,89.2,10.8,5,5,8,5,5,5,8,4,42.5,17.7,14.2,13.3,7.3
10600,Bellingen (A),2017,"1,738",150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2011,-,-,-,-,13,3,"2,061",113,-,60,26,26,35,246,"2,584",26,21,"2,195",363,370,62,"3,412","1,028",54,"2,165","3,246",2,619,121,"1,145",201,64,28,"2,188",2.8,"3,152",507,"2,131",54.0,24.0,8.6,9.6,3.8,-,-,-,620,"1,296",66.3,16.6,7.1,0.7,9.3,12.3,29.5,2.0,-,-,-,"2,855",146,160,79,3,"3,243",44.2,27.9,23.1,1.1,3.7,92.9,7.1,94.3,5.7,-,-,-,-,-,-,-,-,23.0,-,-,-,-
10650,Berrigan (A),2013,"1,358",90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2014,"1,464",95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2015,"1,454",100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10650,Berrigan (A),2016,"1,389",100,3,3,8,-,"2,077",118,-,52,13,25,38,209,"2,553",16,15,"2,213",324,338,59,"3,282","1,075",84,"2,103","3,265",2,590,133,"1,104",209,82,16,"2,123",2.8,"2,986",574,"2,220",52.4,25.2,8.9,9.8,3.7,73.1,22.8,4.0,759,"1,301",64.6,15.0,6.7,0.7,13.0,11.9,28.3,1.9,65,"2,632",363,"2,904",107,121,120,6,"3,258",44.2,26.3,24.4,0.9,4.3,95.9,4.1,93.9,6.1,4,4,4,4,4,3,4,3,13.2,15.9,5.7,15.0,4.4
